Name,"On Hand",Available,Reserved,SKU,Bin,Warehouse,Backorder,"Sell Ahead","On Order","Pending Return"
"Clip 1.5"" Extension BLACK",319,319,0,BHCLS_01,BEAUTIMARK,"Beauty & Hair / Primary",0,0,0,0
"Clip 1.5"" Extension SILVER",273,273,0,BHCLS_04,BEAUTIMARK,"Beauty & Hair / Primary",0,0,0,0
"Clip 1.25"" Extension BROWN",241,234,0,BHCLSS_03,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Clip 1.25"" Extension BEIGE",213,213,0,BHCLSS_02,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Clip 1.5"" Extension BEIGE",180,180,0,BHCLS_03,BEAUTIMARK,"Beauty & Hair / Primary",0,0,0,0
"Clip 1.25"" Extension BLACK",128,128,0,BHCLSS_01,BEAUTIMARK,"Beauty & Hair / Primary",0,0,0,0
"Argan Smooth Treatment Mist",115,115,0,JRASTM_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Clip 1.5"" Extension BROWN",106,106,0,BHCLS_02,BEAUTIMARK,"Beauty & Hair / Primary",0,0,0,0
"Clip 1"" Extension SILVER",91,91,0,BHCLST_04,BEAUTIMARK,"Beauty & Hair / Primary",0,0,0,0
"HD Smooth Detangler 8.5oz",89,84,0,JRHDSD_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Lace Let Go Adhesive Remover",88,86,0,JRLLG_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Clip 1"" Extension BROWN",86,86,0,BHCLST_03,BEAUTIMARK,"Beauty & Hair / Primary",0,0,0,0
"Cotton Wig Liner/Cap BLACK",83,83,0,JRCWL_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Red Adhesive Tape for Polyurethane",80,80,0,JR1RR,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Cotton Wig Liner/Cap BROWN",73,73,0,JRCWL_02,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Wide Tooth Wig Comb",56,50,0,JRWCWT_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Boho Beach Mist",52,52,0,JRBBM_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Clip 1"" Extension BLACK",49,49,0,BHCLST_02,BEAUTIMARK,"Beauty & Hair / Primary",0,0,0,0
"Weightless Volumizing Foam | 7.5oz",46,46,0,JRWVF_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,1,0
"Blown Away Blow Dry Balm N/A",40,40,0,JRBA_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Cotton Wig Liner/Cap CREAM",33,33,0,JRCWL_03,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Clip 1"" Extension BEIGE",29,27,0,BHCLST_01,BEAUTIMARK,"Beauty & Hair / Primary",0,0,0,0
